IVE	1386081000	price	83.58
IVE	1386081000	bid	83.56
IVE	1386081000	ask	83.62
IVE	1386081000	price	83.56
IVE	1386081001	price	83.55
IVE	1386081001	bid	83.55
IVE	1386081002	price	83.535
IVE	1386081002	bid	83.53
IVE	1386081002	ask	83.61
IVE	1386081002	price	83.53
IVE	1386081003	bid	83.55
IVE	1386081003	ask	83.62
IVE	1386081003	price	83.54
IVE	1386081003	price	83.55
IVE	1386081004	price	83.54
IVE	1386081004	bid	83.56
IVE	1386081005	price	83.57
IVE	1386081009	price	83.56
IVE	1386081009	bid	83.53
IVE	1386081009	ask	83.61
IVE	1386081011	bid	83.54
IVE	1386081017	price	83.58
IVE	1386081017	bid	83.57
IVE	1386081017	ask	83.63
IVE	1386081018	price	83.61
IVE	1386081018	bid	83.56
IVE	1386081052	price	83.56
IVE	1386081052	bid	83.55
IVE	1386081052	ask	83.62
IVE	1386081052	price	83.54
IVE	1386081064	price	83.56
IVE	1386081064	bid	83.54
IVE	1386081064	ask	83.57
IVE	1386081087	price	83.54
IVE	1386081087	bid	83.52
IVE	1386081087	price	83.549
IVE	1386081109	price	83.51
IVE	1386081109	bid	83.51
IVE	1386081109	ask	83.55
IVE	1386081109	bid	83.5
IVE	1386081109	ask	83.54
IVE	1386081109	price	83.5
IVE	1386081109	bid	83.51
IVE	1386081111	price	83.501
IVE	1386081111	ask	83.55
IVE	1386081262	price	83.57
IVE	1386081262	bid	83.56
IVE	1386081262	ask	83.59
IVE	1386081269	price	83.56
IVE	1386081269	ask	83.6
IVE	1386081303	price	83.61
IVE	1386081303	bid	83.6
IVE	1386081303	ask	83.63
IVE	1386081345	price	83.6
IVE	1386081345	bid	83.59
IVE	1386081345	ask	83.61
IVE	1386081358	price	83.61
IVE	1386081358	bid	83.6
IVE	1386081358	ask	83.62
IVE	1386081369	price	83.6
IVE	1386081369	bid	83.58
IVE	1386081369	ask	83.6
IVE	1386081395	bid	83.6
IVE	1386081395	ask	83.61
IVE	1386081395	price	83.62
IVE	1386081397	price	83.6
IVE	1386081397	bid	83.59
IVE	1386081404	ask	83.62
IVE	1386081436	price	83.57
IVE	1386081436	bid	83.55
IVE	1386081436	ask	83.59
IVE	1386081444	price	83.5401
IVE	1386081444	bid	83.54
IVE	1386081444	ask	83.57
IVE	1386081558	price	83.59
IVE	1386081558	bid	83.59
IVE	1386081558	ask	83.61
IVE	1386081558	price	83.6
IVE	1386081566	ask	83.6
IVE	1386081570	price	83.59
IVE	1386081570	bid	83.58
IVE	1386081570	ask	83.59
IVE	1386081570	price	83.58
IVE	1386081570	price	83.57
IVE	1386081570	bid	83.57
IVE	1386081570	ask	83.6
IVE	1386081581	price	83.58
IVE	1386081581	ask	83.59
IVE	1386081612	price	83.589
IVE	1386081616	price	83.57
IVE	1386081616	ask	83.58
IVE	1386081618	bid	83.55
IVE	1386081619	price	83.5501
IVE	1386081644	price	83.55
IVE	1386081644	ask	83.56
IVE	1386081667	price	83.5501
IVE	1386081667	ask	83.57
IVE	1386081674	price	83.55
IVE	1386081674	bid	83.53
IVE	1386081674	ask	83.55
IVE	1386081791	price	83.6
IVE	1386081791	bid	83.59
IVE	1386081791	ask	83.61
IVE	1386081798	price	83.62
IVE	1386081798	bid	83.61
IVE	1386081798	ask	83.64
IVE	1386081880	price	83.63
IVE	1386081880	ask	83.63
IVE	1386081880	bid	83.62
IVE	1386081880	bid	83.63
IVE	1386081880	ask	83.65
